Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,5,Weekday,800,1-Car,No injury,UNSAFE LANE MOVEMENT,FOREST & KIRKWOOD,39.16608943,-86.5196257
2015,1,5,Weekday,1500,2-Car,No injury,FOLLOWING TOO CLOSELY,N WALNUT & SR46E,39.186368,-86.5344
2015,1,5,Weekday,1600,2-Car,No injury,FOLLOWING TOO CLOSELY,S HARMONY & SR45,39.111024,-86.638304
2015,1,5,Weekday,1700,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,COLLEGE MALL & EASTLAND PLAZA,0,0
2015,1,4,Weekday,2200,2-Car,No injury,IMPROPER TURNING,WEST 2ND,39.16144,-86.52709845
2015,1,5,Weekday,1400,2-Car,No injury,FOLLOWING TOO CLOSELY,SOUTHERN & WALNUT,39.14984,-86.533392
2015,1,5,Weekday,1400,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,BETHAL & OLD SR 37,0,0
2015,1,6,Weekday,1000,2-Car,No injury,FOLLOWING TOO CLOSELY,SR37N & VERNAL,39.17635934,-86.56266121
2015,1,5,Weekday,1100,2-Car,No injury,UNSAFE BACKING,S FRANKLIN & W 3RD,39.164688,-86.5712
2015,1,5,Weekday,1200,2-Car,No injury,FOLLOWING TOO CLOSELY,COLLEGE MALL & SR46E,39.16424,-86.4984
2015,1,5,Weekday,1600,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,GRIMES & WASHINGTON,39.15344,-86.5324
2015,1,6,Weekday,1700,2-Car,No injury,IMPROPER TURNING,17TH & JORDAN,39.178848,-86.511088
2015,1,6,Weekday,1600,2-Car,No injury,UNSAFE BACKING,LAW,39.17302832,-86.51339918
2015,1,6,Weekday,1700,2-Car,No injury,FOLLOWING TOO CLOSELY,S GATES & WEST 3RD,39.16459009,-86.57619975
2015,1,7,Weekend,200,Pedestrian,functional,FAILURE TO YIELD RIGHT OF WAY,DUNN & KIRKWOOD,39.16664,-86.528192
2015,1,6,Weekday,1200,3+ Cars,No injury,DISREGARD SIGNAL/REG SIGN,KIMBLE & W 3RD,39.16464,-86.568
2015,1,7,Weekend,100,2-Car,No injury,IMPROPER LANE USAGE,HOPEWELL & W 8TH,39.16968,-86.552192
2015,1,7,Weekend,700,Bus,non-funcitonal,BRAKE FAILURE OR DEFECTIVE,17TH & COLLEGE,39.17896,-86.53472
2015,1,7,Weekend,900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,INDIANA & THIRTEENTH,39.17524746,-86.52701896
2015,1,7,Weekend,900,2-Car,No injury,IMPROPER LANE USAGE,JORDAN & THIRD,39.16427532,-86.51640856
